country,city,longitud,latitud,temp_max,humidity,wind_speed,cloudiness,date
NZ,Kaeo,173.78,-35.1,173.78,45,13.42,0,1512363478
ES,Carballo,-8.69,43.21,-8.69,100,4.7,75,1512361800
AI,The Valley,-63.06,18.22,-63.06,100,12.46,32,1512363032
ID,Tual,132.75,-5.67,132.75,100,9.28,36,1512363034
ID,Banda Aceh,95.32,5.56,95.32,100,4.03,44,1512363303
SE,Ostersund,14.64,63.18,14.64,90,13.87,88,1512361200
PT,Ribeira Grande,-28.7,38.52,-28.7,93,18.16,92,1512363043
AR,General Pico,-63.76,-35.66,-63.76,67,10.67,12,1512363481
GT,Champerico,-91.92,14.3,-91.92,100,3.51,0,1512363481
GH,Saltpond,-1.06,5.21,-1.06,93,2.51,8,1512363482
CA,Tuktoyaktuk,-133.04,69.45,-133.04,84,14.99,40,1512360000
JP,Katsuura,140.3,35.13,140.3,50,6.93,75,1512360000
US,Sitka,-135.33,57.05,-135.33,87,14.99,90,1512359760
HU,Szentlorinc,17.99,46.04,17.99,85,5.3,20,1512363484
RU,Vasilyevskiy Mokh,35.92,57.01,35.92,97,3.29,92,1512363485
LR,Harper,-7.72,4.38,-7.72,100,7.83,40,1512360000
GF,Cayenne,-52.33,4.93,-52.33,94,6.64,20,1512361800
CN,Yumen,97.2,40.28,97.2,61,10.07,0,1512363486
LY,Awbari,12.78,26.59,12.78,84,4.85,24,1512363487
KM,Domoni,44.53,-12.26,44.53,100,1.79,56,1512363488
JP,Ushibuka,130.02,32.19,130.02,98,11.63,68,1512363488
CV,Vila do Maio,-23.22,15.13,-23.22,73,19.46,40,1512360000
ES,Don Benito,-5.86,38.96,-5.86,65,4.92,0,1512363490
CD,Lodja,23.43,-3.48,23.43,97,3.06,80,1512363204
NA,Rehoboth,17.08,-23.32,17.08,32,3.24,48,1512363490
CN,Wanxian,108.39,30.8,108.39,95,0.49,80,1512363491
PE,Pisco,-76.22,-13.7,-76.22,88,1.12,0,1512360000
OM,Salalah,54.09,17.02,54.09,25,10.29,0,1512359400
NZ,Dunedin,170.5,-45.87,170.5,37,3.24,0,1512363493
US,Lewistown,-77.57,40.6,-77.57,80,2.13,40,1512360900
US,Thomasville,-80.08,35.88,-80.08,61,4.81,1,1512361200
RU,Khilok,110.47,51.37,110.47,61,7.65,76,1512363494
CL,Constitucion,-72.42,-35.33,-72.42,98,10.11,0,1512363097
GL,Upernavik,-56.15,72.79,-56.15,100,2.13,76,1512363098
CA,Clyde River,-68.59,70.47,-68.59,70,5.41,75,1512360000
IT,Roma,12.48,41.89,12.48,86,6.93,40,1512361200
CN,Korla,86.15,41.76,86.15,44,4.14,68,1512363496
VE,San Cristobal,-72.22,7.77,-72.22,88,1.12,40,1512363600
TO,Vaini,-175.2,-21.2,-175.2,99,12.91,76,1512362848
NO,Mehamn,27.85,71.04,27.85,92,11.41,75,1512361200
RU,Ust-Uda,103.03,54.17,103.03,82,3.4,88,1512363498
ID,Kupang,123.58,-10.17,123.58,70,9.17,75,1512360000
ES,Adeje,-16.73,28.12,-16.73,63,18.34,75,1512361800
RU,Cherskiy,161.3,68.75,161.3,72,9.17,68,1512363499
AU,Mildura,142.15,-34.2,142.15,67,11.45,76,1512363499
NC,Poum,164.02,-20.23,164.02,100,9.89,100,1512363500
RU,Uyemskiy,40.85,64.47,40.85,84,8.95,90,1512360000
GY,Georgetown,-58.16,6.8,-58.16,94,4.7,92,1512360000
BR,Boa Vista,-60.67,2.82,-60.67,69,5.82,40,1512363600
RU,Zeya,127.27,53.75,127.27,24,2.28,0,1512363503
RU,Egvekinot,-179.17,66.32,-179.17,90,2.28,68,1512363122
CN,Shache,77.24,38.42,77.24,63,4.59,32,1512363503
RE,Saint-Philippe,55.77,-21.36,55.77,65,3.36,0,1512360000
IT,Macomer,8.77,40.26,8.77,93,2.24,20,1512361200
NZ,Waipawa,175.52,-41.41,175.52,64,24.16,0,1512361800
RU,Kovdor,30.48,67.57,30.48,85,4.03,44,1512363506
AR,San Vicente,-54.13,-26.62,-54.13,93,2.73,44,1512363506
ZA,Cape Town,18.42,-33.93,18.42,72,11.41,0,1512360000
KI,Butaritari,172.79,3.07,172.79,97,16.37,20,1512362840
IR,Juybar,52.91,36.64,52.91,93,2.24,0,1512360000
IN,Port Blair,92.75,11.67,92.75,96,20.47,80,1512363508
PH,Palauig,119.9,15.44,119.9,89,4.07,24,1512363508
RU,Saskylakh,114.08,71.92,114.08,42,6.04,12,1512363144
JP,Shimoda,138.95,34.67,138.95,54,6.93,75,1512360000
BR,Pontes e Lacerda,-59.34,-15.23,-59.34,89,2.62,0,1512363510
GQ,Luba,8.55,3.46,8.55,88,5.82,20,1512360000
AU,Busselton,115.33,-33.65,115.33,92,8.43,80,1512363149
ZA,Bredasdorp,20.04,-34.53,20.04,82,6.26,8,1512360000
EG,Aswan,32.91,24.09,32.91,75,9.44,0,1512363513
