Tweet Account,Text,Timestamp,News Org,Compound,Positive,Negative,Neutral,Ref_Number,News_Org_Color
940066876305981440,RT @nytimesworld: Protests in Lebanon near U.S. embassy after Trump’s Jerusalem decision https://t.co/6QjgtAgUVj https://t.co/MVThAPnypJ,2017-12-11 03:53:03,nytimes,-0.2263,0.0,0.128,0.872,0,y
940063377543409666,Horror films dominated the cultural conversation in 2017. So @nytmag asked the year's best actors to perform in a s… https://t.co/1zY2LD0VYi,2017-12-11 03:39:09,nytimes,0.128,0.162,0.143,0.695,1,y
940059834245775360,RT @nytimesworld: London's Heathrow Airport was brought to a virtual halt on Sunday after a snowstorm swept through the region https://t.co…,2017-12-11 03:25:04,nytimes,0.0,0.0,0.0,1.0,2,y
940056907846377473,"17 ways to celebrate the season in New York City, from the familiar (Rockettes!) to the far-out (Taylor Mac!) https://t.co/50cu9mc8bC",2017-12-11 03:13:26,nytimes,0.6467,0.184,0.0,0.816,3,y
940052731825229825,9 ways to work better in 2018 https://t.co/LMKfNrcMVS,2017-12-11 02:56:51,nytimes,0.4404,0.326,0.0,0.674,4,y
940048504835076098,A high-powered attorney died. His ex-wife investigated and found a web of drug abuse in his profession.… https://t.co/U9UP9O0Ryt,2017-12-11 02:40:03,nytimes,-0.8316,0.0,0.358,0.642,5,y
940042678347087873,Op-Ed Columnist: Susan Collins and the Duping of Centrists https://t.co/sGjJ28NHxJ,2017-12-11 02:16:54,nytimes,0.0,0.0,0.0,1.0,6,y
940038638817067008,"In a Blow to Hamas, Israel Destroys Tunnel From Gaza https://t.co/qvmAm1MCIY",2017-12-11 02:00:51,nytimes,-0.5574,0.0,0.286,0.714,7,y
940036607398129664,"""Dark"" plays like a slower, artsier, more complicated take on ""Stranger Things,"" our critic writes https://t.co/mwFkGjnwjd",2017-12-11 01:52:46,nytimes,0.34,0.242,0.113,0.645,8,y
940032276665995264,2017: The Year in New York https://t.co/oMSRlih8ib,2017-12-11 01:35:34,nytimes,0.0,0.0,0.0,1.0,9,y
940027803860271109,President Trump called for a Washington Post reporter to be fired over a misleading tweet https://t.co/NLAYpP1rDI,2017-12-11 01:17:47,nytimes,-0.743,0.0,0.344,0.656,10,y
